playback.sequence	N.subjects	vocal.first.p	vocal.response.middle.p	voal.response.last.p	vocal.respose.test.p	vocal.response.post.p	visual.first.p	visual.mid.p	visual.last.p	visual.test.p	visual.post.p
a-d	2	0	0	0	0	0	0	0	0	0	0
a-l	1	0	0	0	10	0	0	0	0	3.5	2
a-r	5	1.532	0	0.866	10.132	4.982	0.75	0.285	1.4	2.95	1.857
b-k	2	0.5	0	0	0	0	0	0	0	0.5	0.5
b-l	2	4	0	0	14	0	5	0.5	0	8.5	0.25
b-r	3	0.666	0	0	5.333	8	2	1.333	1.333	4	1.833
b-s	1	0	0	0	11	0	0	1.6	1	2	0
c-r	1	1	0	0	1	0	0	0.3	0	1	1
e-g	8	0.142	0	0	0	0	1.1875	0.6375	0.4375	0.6875	0.5
e-n	1	14.5	3.65	0	1	1	0	0	0	0	2.5
f-c	3	2	0	0	0	0	0.333	0	0	0	0.666
g-h	5	2.415	0.225	0	0.4	0.4	1.166	1.04	0.4	1.1	1.1
h-b	5	0.2	0	0	0	0	1.6	0	1.8	2.4	0
h-s	3	5.333	3.233	0.666	4.333	2	2	0.666	0.666	8.333	3.666
i-e	5	2.2	0	0	1.75	1.132	3.626	2.13	1.666	2.998	2.998
p-f	2	0	0	0	0	1.75	0	0	0	0.75	0
